#x3	I3	x2	I2	x1	I1	x0	I0
0	0	1	0	2	0	3	0
0	0	1	0	2	0	3	1
0	0	1	0	2	1	3	0
0	0	1	0	2	1	3	1
0	0	1	0	3	0	2	0
0	0	1	0	3	0	2	1
0	0	1	0	3	1	2	0
0	0	1	0	3	1	2	1
0	0	1	1	2	0	3	0
0	0	1	1	2	0	3	1
0	0	1	1	2	1	3	0
0	0	1	1	2	1	3	1
0	0	1	1	3	0	2	0
0	0	1	1	3	0	2	1
0	0	1	1	3	1	2	0
0	0	1	1	3	1	2	1
0	0	2	0	1	0	3	0
0	0	2	0	1	0	3	1
0	0	2	0	1	1	3	0
0	0	2	0	1	1	3	1
0	0	2	0	3	0	1	0
0	0	2	0	3	0	1	1
0	0	2	0	3	1	1	0
0	0	2	0	3	1	1	1
0	0	2	1	1	0	3	0
0	0	2	1	1	0	3	1
0	0	2	1	1	1	3	0
0	0	2	1	1	1	3	1
0	0	2	1	3	0	1	0
0	0	2	1	3	0	1	1
0	0	2	1	3	1	1	0
0	0	2	1	3	1	1	1
0	0	3	0	1	0	2	0
0	0	3	0	1	0	2	1
0	0	3	0	1	1	2	0
0	0	3	0	1	1	2	1
0	0	3	0	2	0	1	0
0	0	3	0	2	0	1	1
0	0	3	0	2	1	1	0
0	0	3	0	2	1	1	1
0	0	3	1	1	0	2	0
0	0	3	1	1	0	2	1
0	0	3	1	1	1	2	0
0	0	3	1	1	1	2	1
0	0	3	1	2	0	1	0
0	0	3	1	2	0	1	1
0	0	3	1	2	1	1	0
0	0	3	1	2	1	1	1
0	1	1	0	2	0	3	0
0	1	1	0	2	0	3	1
0	1	1	0	2	1	3	0
0	1	1	0	2	1	3	1
0	1	1	0	3	0	2	0
0	1	1	0	3	0	2	1
0	1	1	0	3	1	2	0
0	1	1	0	3	1	2	1
0	1	1	1	2	0	3	0
0	1	1	1	2	0	3	1
0	1	1	1	2	1	3	0
0	1	1	1	2	1	3	1
0	1	1	1	3	0	2	0
0	1	1	1	3	0	2	1
0	1	1	1	3	1	2	0
0	1	1	1	3	1	2	1
0	1	2	0	1	0	3	0
0	1	2	0	1	0	3	1
0	1	2	0	1	1	3	0
0	1	2	0	1	1	3	1
0	1	2	0	3	0	1	0
0	1	2	0	3	0	1	1
0	1	2	0	3	1	1	0
0	1	2	0	3	1	1	1
0	1	2	1	1	0	3	0
0	1	2	1	1	0	3	1
0	1	2	1	1	1	3	0
0	1	2	1	1	1	3	1
0	1	2	1	3	0	1	0
0	1	2	1	3	0	1	1
0	1	2	1	3	1	1	0
0	1	2	1	3	1	1	1
0	1	3	0	1	0	2	0
0	1	3	0	1	0	2	1
0	1	3	0	1	1	2	0
0	1	3	0	1	1	2	1
0	1	3	0	2	0	1	0
0	1	3	0	2	0	1	1
0	1	3	0	2	1	1	0
0	1	3	0	2	1	1	1
0	1	3	1	1	0	2	0
0	1	3	1	1	0	2	1
0	1	3	1	1	1	2	0
0	1	3	1	1	1	2	1
0	1	3	1	2	0	1	0
0	1	3	1	2	0	1	1
0	1	3	1	2	1	1	0
0	1	3	1	2	1	1	1
1	0	0	0	2	0	3	0
1	0	0	0	2	0	3	1
1	0	0	0	2	1	3	0
1	0	0	0	2	1	3	1
1	0	0	0	3	0	2	0
1	0	0	0	3	0	2	1
1	0	0	0	3	1	2	0
1	0	0	0	3	1	2	1
1	0	0	1	2	0	3	0
1	0	0	1	2	0	3	1
1	0	0	1	2	1	3	0
1	0	0	1	2	1	3	1
1	0	0	1	3	0	2	0
1	0	0	1	3	0	2	1
1	0	0	1	3	1	2	0
1	0	0	1	3	1	2	1
1	0	2	0	0	0	3	0
1	0	2	0	0	0	3	1
1	0	2	0	0	1	3	0
1	0	2	0	0	1	3	1
1	0	2	0	3	0	0	0
1	0	2	0	3	0	0	1
1	0	2	0	3	1	0	0
1	0	2	0	3	1	0	1
1	0	2	1	0	0	3	0
1	0	2	1	0	0	3	1
1	0	2	1	0	1	3	0
1	0	2	1	0	1	3	1
1	0	2	1	3	0	0	0
1	0	2	1	3	0	0	1
1	0	2	1	3	1	0	0
1	0	2	1	3	1	0	1
1	0	3	0	0	0	2	0
1	0	3	0	0	0	2	1
1	0	3	0	0	1	2	0
1	0	3	0	0	1	2	1
1	0	3	0	2	0	0	0
1	0	3	0	2	0	0	1
1	0	3	0	2	1	0	0
1	0	3	0	2	1	0	1
1	0	3	1	0	0	2	0
1	0	3	1	0	0	2	1
1	0	3	1	0	1	2	0
1	0	3	1	0	1	2	1
1	0	3	1	2	0	0	0
1	0	3	1	2	0	0	1
1	0	3	1	2	1	0	0
1	0	3	1	2	1	0	1
1	1	0	0	2	0	3	0
1	1	0	0	2	0	3	1
1	1	0	0	2	1	3	0
1	1	0	0	2	1	3	1
1	1	0	0	3	0	2	0
1	1	0	0	3	0	2	1
1	1	0	0	3	1	2	0
1	1	0	0	3	1	2	1
1	1	0	1	2	0	3	0
1	1	0	1	2	0	3	1
1	1	0	1	2	1	3	0
1	1	0	1	2	1	3	1
1	1	0	1	3	0	2	0
1	1	0	1	3	0	2	1
1	1	0	1	3	1	2	0
1	1	0	1	3	1	2	1
1	1	2	0	0	0	3	0
1	1	2	0	0	0	3	1
1	1	2	0	0	1	3	0
1	1	2	0	0	1	3	1
1	1	2	0	3	0	0	0
1	1	2	0	3	0	0	1
1	1	2	0	3	1	0	0
1	1	2	0	3	1	0	1
1	1	2	1	0	0	3	0
1	1	2	1	0	0	3	1
1	1	2	1	0	1	3	0
1	1	2	1	0	1	3	1
1	1	2	1	3	0	0	0
1	1	2	1	3	0	0	1
1	1	2	1	3	1	0	0
1	1	2	1	3	1	0	1
1	1	3	0	0	0	2	0
1	1	3	0	0	0	2	1
1	1	3	0	0	1	2	0
1	1	3	0	0	1	2	1
1	1	3	0	2	0	0	0
1	1	3	0	2	0	0	1
1	1	3	0	2	1	0	0
1	1	3	0	2	1	0	1
1	1	3	1	0	0	2	0
1	1	3	1	0	0	2	1
1	1	3	1	0	1	2	0
1	1	3	1	0	1	2	1
1	1	3	1	2	0	0	0
1	1	3	1	2	0	0	1
1	1	3	1	2	1	0	0
1	1	3	1	2	1	0	1
2	0	0	0	1	0	3	0
2	0	0	0	1	0	3	1
2	0	0	0	1	1	3	0
2	0	0	0	1	1	3	1
2	0	0	0	3	0	1	0
2	0	0	0	3	0	1	1
2	0	0	0	3	1	1	0
2	0	0	0	3	1	1	1
2	0	0	1	1	0	3	0
2	0	0	1	1	0	3	1
2	0	0	1	1	1	3	0
2	0	0	1	1	1	3	1
2	0	0	1	3	0	1	0
2	0	0	1	3	0	1	1
2	0	0	1	3	1	1	0
2	0	0	1	3	1	1	1
2	0	1	0	0	0	3	0
2	0	1	0	0	0	3	1
2	0	1	0	0	1	3	0
2	0	1	0	0	1	3	1
2	0	1	0	3	0	0	0
2	0	1	0	3	0	0	1
2	0	1	0	3	1	0	0
2	0	1	0	3	1	0	1
2	0	1	1	0	0	3	0
2	0	1	1	0	0	3	1
2	0	1	1	0	1	3	0
2	0	1	1	0	1	3	1
2	0	1	1	3	0	0	0
2	0	1	1	3	0	0	1
2	0	1	1	3	1	0	0
2	0	1	1	3	1	0	1
2	0	3	0	0	0	1	0
2	0	3	0	0	0	1	1
2	0	3	0	0	1	1	0
2	0	3	0	0	1	1	1
2	0	3	0	1	0	0	0
2	0	3	0	1	0	0	1
2	0	3	0	1	1	0	0
2	0	3	0	1	1	0	1
2	0	3	1	0	0	1	0
2	0	3	1	0	0	1	1
2	0	3	1	0	1	1	0
2	0	3	1	0	1	1	1
2	0	3	1	1	0	0	0
2	0	3	1	1	0	0	1
2	0	3	1	1	1	0	0
2	0	3	1	1	1	0	1
2	1	0	0	1	0	3	0
2	1	0	0	1	0	3	1
2	1	0	0	1	1	3	0
2	1	0	0	1	1	3	1
2	1	0	0	3	0	1	0
2	1	0	0	3	0	1	1
2	1	0	0	3	1	1	0
2	1	0	0	3	1	1	1
2	1	0	1	1	0	3	0
2	1	0	1	1	0	3	1
2	1	0	1	1	1	3	0
2	1	0	1	1	1	3	1
2	1	0	1	3	0	1	0
2	1	0	1	3	0	1	1
2	1	0	1	3	1	1	0
2	1	0	1	3	1	1	1
2	1	1	0	0	0	3	0
2	1	1	0	0	0	3	1
2	1	1	0	0	1	3	0
2	1	1	0	0	1	3	1
2	1	1	0	3	0	0	0
2	1	1	0	3	0	0	1
2	1	1	0	3	1	0	0
2	1	1	0	3	1	0	1
2	1	1	1	0	0	3	0
2	1	1	1	0	0	3	1
2	1	1	1	0	1	3	0
2	1	1	1	0	1	3	1
2	1	1	1	3	0	0	0
2	1	1	1	3	0	0	1
2	1	1	1	3	1	0	0
2	1	1	1	3	1	0	1
2	1	3	0	0	0	1	0
2	1	3	0	0	0	1	1
2	1	3	0	0	1	1	0
2	1	3	0	0	1	1	1
2	1	3	0	1	0	0	0
2	1	3	0	1	0	0	1
2	1	3	0	1	1	0	0
2	1	3	0	1	1	0	1
2	1	3	1	0	0	1	0
2	1	3	1	0	0	1	1
2	1	3	1	0	1	1	0
2	1	3	1	0	1	1	1
2	1	3	1	1	0	0	0
2	1	3	1	1	0	0	1
2	1	3	1	1	1	0	0
2	1	3	1	1	1	0	1
3	0	0	0	1	0	2	0
3	0	0	0	1	0	2	1
3	0	0	0	1	1	2	0
3	0	0	0	1	1	2	1
3	0	0	0	2	0	1	0
3	0	0	0	2	0	1	1
3	0	0	0	2	1	1	0
3	0	0	0	2	1	1	1
3	0	0	1	1	0	2	0
3	0	0	1	1	0	2	1
3	0	0	1	1	1	2	0
3	0	0	1	1	1	2	1
3	0	0	1	2	0	1	0
3	0	0	1	2	0	1	1
3	0	0	1	2	1	1	0
3	0	0	1	2	1	1	1
3	0	1	0	0	0	2	0
3	0	1	0	0	0	2	1
3	0	1	0	0	1	2	0
3	0	1	0	0	1	2	1
3	0	1	0	2	0	0	0
3	0	1	0	2	0	0	1
3	0	1	0	2	1	0	0
3	0	1	0	2	1	0	1
3	0	1	1	0	0	2	0
3	0	1	1	0	0	2	1
3	0	1	1	0	1	2	0
3	0	1	1	0	1	2	1
3	0	1	1	2	0	0	0
3	0	1	1	2	0	0	1
3	0	1	1	2	1	0	0
3	0	1	1	2	1	0	1
3	0	2	0	0	0	1	0
3	0	2	0	0	0	1	1
3	0	2	0	0	1	1	0
3	0	2	0	0	1	1	1
3	0	2	0	1	0	0	0
3	0	2	0	1	0	0	1
3	0	2	0	1	1	0	0
3	0	2	0	1	1	0	1
3	0	2	1	0	0	1	0
3	0	2	1	0	0	1	1
3	0	2	1	0	1	1	0
3	0	2	1	0	1	1	1
3	0	2	1	1	0	0	0
3	0	2	1	1	0	0	1
3	0	2	1	1	1	0	0
3	0	2	1	1	1	0	1
3	1	0	0	1	0	2	0
3	1	0	0	1	0	2	1
3	1	0	0	1	1	2	0
3	1	0	0	1	1	2	1
3	1	0	0	2	0	1	0
3	1	0	0	2	0	1	1
3	1	0	0	2	1	1	0
3	1	0	0	2	1	1	1
3	1	0	1	1	0	2	0
3	1	0	1	1	0	2	1
3	1	0	1	1	1	2	0
3	1	0	1	1	1	2	1
3	1	0	1	2	0	1	0
3	1	0	1	2	0	1	1
3	1	0	1	2	1	1	0
3	1	0	1	2	1	1	1
3	1	1	0	0	0	2	0
3	1	1	0	0	0	2	1
3	1	1	0	0	1	2	0
3	1	1	0	0	1	2	1
3	1	1	0	2	0	0	0
3	1	1	0	2	0	0	1
3	1	1	0	2	1	0	0
3	1	1	0	2	1	0	1
3	1	1	1	0	0	2	0
3	1	1	1	0	0	2	1
3	1	1	1	0	1	2	0
3	1	1	1	0	1	2	1
3	1	1	1	2	0	0	0
3	1	1	1	2	0	0	1
3	1	1	1	2	1	0	0
3	1	1	1	2	1	0	1
3	1	2	0	0	0	1	0
3	1	2	0	0	0	1	1
3	1	2	0	0	1	1	0
3	1	2	0	0	1	1	1
3	1	2	0	1	0	0	0
3	1	2	0	1	0	0	1
3	1	2	0	1	1	0	0
3	1	2	0	1	1	0	1
3	1	2	1	0	0	1	0
3	1	2	1	0	0	1	1
3	1	2	1	0	1	1	0
3	1	2	1	0	1	1	1
3	1	2	1	1	0	0	0
3	1	2	1	1	0	0	1
3	1	2	1	1	1	0	0
3	1	2	1	1	1	0	1
